GRN No.,Invoice No,DCNo,"Received 
Date",Item Code,Item Name,HSN Code,Batch No,"Expiry
Date",Manuf. Date,"Purchase 
UOM",Qty.,MRP,MRP I/E,Free Item,Vendor,GSTIN,"GRN 
Status",Store Name,"GST 
UOM"
SE/PH/GRN/26/6695,SB-26-57158,,19/09/2026,LCST100,Lacoset 100mg Tab,30049099,141852^SIH1082A,31/05/2028,01/06/2026,Tablet,500.0,19.875,I,No,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6695,SB-26-57158,,19/09/2026,RCN025,Revocon 25mg Tab,30049099,134686^GTH1815A,31/05/2028,01/06/2026,Tablet,180.0,46.4,I,No,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6695,SB-26-57158,,19/09/2026,RIFA400,RIFAGUT 400 Mg Tab,30049099,141359^GKH1119A,30/06/2028,01/07/2026,Tablet,400.0,45.0,I,No,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6695,SB-26-57158,,19/09/2026,RAR015,Rivamer 1.5mg Cap,30049099,141351^SIH1067A,31/05/2028,01/06/2026,(1.00 x Capsules),180.0,21.7,I,No,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6695,SB-26-57158,,19/09/2026,RAR015,Rivamer 1.5mg Cap,30049099,141351^SIH1067A,31/05/2028,01/06/2026,(1.00 x Capsules),120.0,21.7,I,No,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6695,SB-26-57158,,19/09/2026,SLDL8,Silodal 8mg Cap,30049099,141851^SIH1290A,31/05/2028,01/06/2026,Capsule,700.0,31.9,I,No,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6696,LOD-26-515,,19/09/2026,CHC236,Cerave Hydrating Cleanser 236ml,33049930,141849^B76A701,31/07/2029,01/07/2026,Bottle,48.0,799.0,I,No,Novacare Healthcare Solutions Private Limited(DELHI),07AAGCN0847B1ZS,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6696,LOD-26-515,,19/09/2026,CHC236,Cerave Hydrating Cleanser 236ml,33049930,135206^B76A600,30/06/2029,01/06/2026,Bottle,2.0,799.0,I,No,Novacare Healthcare Solutions Private Limited(DELHI),07AAGCN0847B1ZS,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6696,LOD-26-515,,19/09/2026,CHC236,Cerave Hydrating Cleanser 236ml,33049930,141850^B76A700,31/07/2029,01/07/2026,Bottle,10.0,799.0,I,No,Novacare Healthcare Solutions Private Limited(DELHI),07AAGCN0847B1ZS,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6696,LOD-26-515,,19/09/2026,CRVL236,CeraVe Moisturising Lotion 236ml,33049930,129914^B76A400,30/04/2029,01/04/2026,Bottle,25.0,1359.0,I,No,Novacare Healthcare Solutions Private Limited(DELHI),07AAGCN0847B1ZS,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6696,LOD-26-515,,19/09/2026,CRVL236,CeraVe Moisturising Lotion 236ml,33049930,129914^B76A400,30/04/2029,01/04/2026,Bottle,5.0,1359.0,I,No,Novacare Healthcare Solutions Private Limited(DELHI),07AAGCN0847B1ZS,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6697,DEL-26-40435,,19/09/2026,CBT1000,Cefbact 1000mg  Inj,30042019,138373^AFN26018,31/05/2028,01/06/2026,Vial,40.0,67.06,I,No,Novacare Healthcare Solutions Private Limited(DELHI),07AAGCN0847B1ZS,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6697,DEL-26-40435,,19/09/2026,CBT1000,Cefbact 1000mg  Inj,30042019,141854^IABJ26002A,31/05/2028,01/06/2026,Vial,780.0,67.06,I,No,Novacare Healthcare Solutions Private Limited(DELHI),07AAGCN0847B1ZS,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6697,DEL-26-40435,,19/09/2026,CBT1000,Cefbact 1000mg  Inj,30042019,141853^EABQ26015A,31/05/2028,01/06/2026,Vial,680.0,67.06,I,No,Novacare Healthcare Solutions Private Limited(DELHI),07AAGCN0847B1ZS,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6698,DEL-26-40425,,19/09/2026,DBNR30,Dubinor Gel 30gm,30049099,140342^DG1H605,31/12/2027,01/07/2026,Tube,51.0,399.0,I,No,Novacare Healthcare Solutions Private Limited(DELHI),07AAGCN0847B1ZS,Closed,PS/MN/20B/00 (PH MAIN STORE),
